,name,album,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,minmax_duration,minmax_tempo
44,Going My Way,0.29405405405405405,0.9730557256582976,0.0,0.5814432989690721,0.395,1.0,-2.6070489216202,1.0,0.12993762993762994,0.3383534136546185,0.0,0.289,0.3800813008130081,0.8,0.9915841584158416,0.0363990019252831,0.3829111640326189
45,Out Of My Mind,0.29405405405405405,0.9730557256582976,0.0,0.8144329896907218,0.83,0.6363636363636364,-1.9079431877958968,1.0,0.06476091476091476,0.04738955823293173,0.0,0.13,0.9603658536585366,0.8,0.9915841584158416,0.0308309607997152,0.5455500829905463
46,Friday's Child,0.29405405405405405,0.9730557256582976,0.0,0.5618556701030928,0.6890000000000001,0.5454545454545454,-1.8577064702788004,1.0,0.04095634095634096,0.10020080321285141,0.13,0.1159999999999999,0.8089430894308942,0.8,0.9915841584158416,0.0891912406636982,0.7397118784729739
47,Listen For The Laugh,0.19027027027027027,0.14819350887936314,0.0,0.5371134020618556,0.8140000000000001,0.18181818181818182,-2.078642819568648,1.0,0.05675675675675676,0.23092369477911648,0.13,0.288,0.9085365853658537,0.6,0.9871287128712871,0.0406850076524017,0.780241935483871
48,All The Ways I Want You,0.19027027027027027,0.14819350887936314,0.0,0.718556701030928,0.2339999999999999,0.36363636363636365,-3.9410836401893743,1.0,0.03128898128898129,0.5251004016064257,0.00364,0.104,0.34146341463414637,0.8,0.9871287128712871,0.0425528048757321,0.4582882297755647
49,Bone In My Ear,0.19027027027027027,0.14819350887936314,0.0,0.4298969072164948,0.365,0.8181818181818182,-3.3432403997895843,0.0,0.03575883575883576,0.7439759036144579,0.000641,0.258,0.3119918699186992,0.6,0.9871287128712871,0.0371456582841275,0.7789023598181425
50,Burden Of The Angel/Beast,0.19027027027027027,0.14819350887936314,0.0,0.7164948453608248,0.312,0.18181818181818182,-3.5081536033666487,1.0,0.03045738045738046,0.7961847389558232,0.0146,0.104,0.378048780487805,0.8,0.9871287128712871,0.0643688812791611,0.5657203940246807
51,Scanning These Crowds,0.19027027027027027,0.14819350887936314,0.0,0.6020618556701031,0.611,0.18181818181818182,-2.3945291951604415,1.0,0.03024948024948025,0.13955823293172692,0.000113,0.115,0.4451219512195121,0.8,0.9871287128712871,0.037751242844199,0.53311954246951
52,Southland Of The Heart,0.19027027027027027,0.14819350887936314,0.0,0.5793814432989691,0.303,0.0,-3.5181483429773803,1.0,0.027130977130977132,0.03684738955823293,0.000332,0.0837,0.2459349593495935,0.8,0.9871287128712871,0.0477220786450499,0.3178222198166991
53,Train In The Rain,0.19027027027027027,0.14819350887936314,0.0,0.5762886597938144,0.313,0.36363636363636365,-4.4718569174118885,1.0,0.04812889812889813,0.9437751004016064,0.879,0.0981,0.7550813008130082,0.8,0.9871287128712871,0.0367006378790994,0.4642148372663635
54,Someone I Used To Love,0.19027027027027027,0.14819350887936314,0.0,0.4731958762886597,0.3339999999999999,0.8181818181818182,-3.6296685954760655,1.0,0.03212058212058212,0.48293172690763053,6.7e-05,0.11,0.3902439024390244,0.8,0.9871287128712871,0.0353351818033898,0.3741249909792884
55,Love Loves You Too,0.19027027027027027,0.14819350887936314,0.0,0.6319587628865979,0.294,0.36363636363636365,-3.453445554971068,1.0,0.03232848232848233,0.8142570281124497,0.0243,0.108,0.17682926829268292,0.8,0.9871287128712871,0.0417818656662793,0.3696642491159703
56,Sunrise On The Mississippi,0.19027027027027027,0.14819350887936314,0.0,0.5855670103092783,0.307,0.0,-3.507101525512888,1.0,0.04449064449064449,0.8805220883534136,0.898,0.265,0.7723577235772358,0.8,0.9871287128712871,0.0297560729840071,0.6434608861947029
57,Closer to the Light,0.19027027027027027,0.14819350887936314,0.0,0.5525773195876289,0.2189999999999999,1.0,-4.786954234613361,0.0,0.031185031185031183,0.3413654618473896,0.0362,0.123,0.31097560975609756,0.6,0.9871287128712871,0.0411871836105625,0.6475788410189796
58,Tie Me At The Crossroads,0.19027027027027027,0.14819350887936314,0.0,0.6041237113402061,0.742,0.8181818181818182,-1.8106259863229879,1.0,0.05124740124740124,0.023092369477911646,8.77e-06,0.0697,0.983739837398374,0.8,0.9871287128712871,0.0280007697828832,0.7668010752688171
59,Amber Waves,0.6940540540540541,0.9197795468462951,0.0,0.5938144329896908,0.494,0.8181818181818182,-2.6083640189374013,1.0,0.027234927234927236,0.9016064257028112,0.00443,0.139,0.44410569105691067,0.8,0.9910891089108911,0.0360773780468163,0.4510355776863679
60,A Sorta Fairytale,0.6940540540540541,0.9197795468462951,0.0,0.6237113402061856,0.4629999999999999,0.45454545454545453,-2.5789058390320885,0.0,0.04501039501039501,0.6857429718875502,0.0206,0.091,0.9024390243902439,0.8,0.9910891089108911,0.0541160670702245,0.690409179476077
