,Unnamed: 0,Unnamed: 0.1,name,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,artists_enc,album_enc,minmax_duration,minmax_tempo,album,artists
1054,1054,1054,Sweet Home Chicago,0.0,0.3080040526849037,0.779,0.8181818181818182,-2.1070737475811656,0.0,0.1366459627329192,0.0155622489959839,0.872,0.0869,0.65,0.8,0.9851485148514852,0.5737400165243735,0.4959848842701936,0.0418524015656657,0.5108560516800065,Magic Sam Live,['Magic Sam']
1055,1055,1055,Looking Good,0.0,0.3525835866261398,0.928,0.1818181818181818,-1.783917437110299,0.0,0.1821946169772256,0.005441767068273,0.836,0.6990000000000001,0.626,0.8,0.9851485148514852,0.5737400165243735,0.4959848842701936,0.0375530154922935,0.4327266078901394,Magic Sam Live,['Magic Sam']
1056,1056,1056,Looking Good,0.0,0.3444782168186424,0.977,0.6363636363636364,-2.3943238013330466,0.0,0.5372670807453417,0.3202811244979919,0.7979999999999999,0.904,0.308,0.8,0.9851485148514852,0.5737400165243735,0.4959848842701936,0.0252629196741472,0.4261487831633689,Magic Sam Live,['Magic Sam']
1057,1057,1057,Mini Overture,0.0,0.3495440729483282,0.195,0.9090909090909092,-4.344442055471942,0.0,0.0682194616977225,0.9929718875502008,0.885,0.15,0.0936,0.8,0.995049504950495,0.9748003304874692,0.5571563533301842,0.0257122350051332,0.6885954576849632,New Standards,"['Witold Lutosławski', 'Axiom Brass']"
1058,1058,1058,"Brass Quintet No. 2, Op. 6: I. Allegro risoluto",0.0,0.2664640324214792,0.0688,0.2727272727272727,-4.288755106428725,1.0,0.0467908902691511,0.9849397590361446,0.908,0.124,0.0962,0.8,0.995049504950495,0.9538694574497384,0.5571563533301842,0.0494886147294485,0.3585056677365619,New Standards,"['Victor Ewald', 'Axiom Brass']"
1059,1059,1059,"Brass Quintet No. 2, Op. 6: II. Thema con variazioni",0.0,0.1519756838905775,0.0559,0.2727272727272727,-5.164265749301226,1.0,0.0475155279503105,0.9829317269076304,0.914,0.092,0.05,0.8,0.995049504950495,0.9538694574497384,0.5571563533301842,0.0703244568777044,0.2706984114086052,New Standards,"['Victor Ewald', 'Axiom Brass']"
1060,1060,1060,"Brass Quintet No. 2, Op. 6: III. Allegro vivace",0.0,0.2917933130699088,0.0842,0.2727272727272727,-4.623951838314341,1.0,0.0404761904761904,0.9919678714859438,0.913,0.1,0.136,0.8,0.995049504950495,0.9538694574497384,0.5571563533301842,0.0432510607228195,0.4503392516150002,New Standards,"['Victor Ewald', 'Axiom Brass']"
1061,1061,1061,Fanfare,0.0,0.4336372847011145,0.2789999999999999,0.4545454545454545,-3.612341431950118,1.0,0.0554865424430641,0.9869477911646586,0.88,0.186,0.139,0.8,0.995049504950495,0.1842467639768658,0.5571563533301842,0.0209019179322244,0.5440377036525413,New Standards,"['Cliff Colnot', 'Axiom Brass']"
1062,1062,1062,"Frost Fire, I. Bright and Fast",0.0,0.3931104356636271,0.0747,0.8181818181818182,-5.134379703289615,0.0,0.0395445134575569,0.9959839357429718,0.852,0.126,0.236,0.8,0.995049504950495,0.2849765904709446,0.5571563533301842,0.0414802297124629,0.5470726851663755,New Standards,"['Eric Ewazen', 'Axiom Brass']"
1063,1063,1063,"Frost Fire, II. Gentle and Mysterious",0.0,0.1833839918946302,0.0276,0.2727272727272727,-5.499677488712106,0.0,0.0498964803312629,0.9899598393574296,0.928,0.0898,0.0556,0.6,0.995049504950495,0.2849765904709446,0.5571563533301842,0.0542239357875531,0.2785113557875919,New Standards,"['Eric Ewazen', 'Axiom Brass']"
